job_id,plan_status,priority_rank,priority_score,asset_id,section_id,department,work_type,duration_min,deadline,block_id,block_date,scheduled_start,scheduled_end,block_type,block_restrictions,block_isolation_required,train_conflict_checked,scheduling_reason_code,scheduling_reason_detail
J011,UNSCHEDULED,27,55.09,A006,S02,Engineering,Ballast Maintenance,75,2026-09-04,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J006,UNSCHEDULED,28,54.87,A018,S02,Traction,OHE Repair,90,2026-09-07,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J019,SCHEDULED,29,54.05,A005,S07,Engineering,Track Repair,30,2026-09-04,B014,2026-08-30,2026-08-30 07:30,2026-08-30 08:00,Planned,Limited speed,Yes,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J004,SCHEDULED,30,53.75,A008,S10,Engineering,Track Inspection,30,2026-09-05,B019,2026-08-30,2026-08-30 10:15,2026-08-30 10:45,Emergency,None,Yes,True,SCHEDULED,Scheduled in the earliest feasible interval for its deterministic priority order.
J037,UNSCHEDULED,31,53.66,A016,S05,S&T,Signal Inspection,45,2026-09-02,,,,,,,,True,TRAIN_CONFLICT,Scheduled train movements leave no contiguous maintenance interval.
J008,UNSCHEDULED,32,49.61,A002,S09,Engineering,Ballast Maintenance,60,2026-09-03,,,,,,,,False,ISOLATION_UNAVAILABLE,No compatible block provides the required isolation.
J017,UNSCHEDULED,33,49.22,A017,S10,Traction,OHE Repair,60,2026-09-04,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J025,UNSCHEDULED,34,48.62,A001,S02,Engineering,Track Inspection,60,2026-09-04,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J009,UNSCHEDULED,35,48.53,A014,S07,S&T,Signal Inspection,75,2026-09-05,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J007,UNSCHEDULED,36,48.06,A004,S07,Engineering,Track Inspection,75,2026-09-07,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J022,UNSCHEDULED,37,44.61,A004,S07,Engineering,Track Repair,120,2026-09-08,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J028,UNSCHEDULED,38,37.8,A001,S02,Engineering,Ballast Maintenance,60,2026-09-04,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J023,UNSCHEDULED,39,36.16,A005,S07,Engineering,Track Inspection,60,2026-09-09,,,,,,,,True,INSUFFICIENT_CONTIGUOUS_CAPACITY,Existing maintenance reservations leave no contiguous interval.
J021,UNSCHEDULED,40,31.08,A002,S09,Engineering,Ballast Maintenance,45,2026-09-09,,,,,,,,False,ISOLATION_UNAVAILABLE,No compatible block provides the required isolation.
MR-41,UNSCHEDULED,41,66.25,A001,S02,Engineering,Track Tamping,90,2026-08-31,,,,,,,False,NEW_REQUEST_PENDING,New request pending allocation
MR-42,UNSCHEDULED,42,66.25,A002,S02,S&T,Signal Testing,60,2026-08-31,,,,,,,False,NEW_REQUEST_PENDING,New request pending allocation

